experiment,well,config,method,ref_mode,timepoint,true_dy,true_dx,est_dy,est_dx,abs_err_px,post_corr,reg_error,overlap,qc_pass
E1_baseline,0,corr0.5,B_pilot,anchored,8,3.9051956174327476,0.4162346306673186,-4.0,0.0,0.42689476305140717,0.9895116477590805,,0.9791666666666666,True
E1_baseline,0,corr0.7,B_pilot,anchored,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
E1_baseline,0,corr0.7,B_pilot,anchored,1,0.626488209332539,2.240818880338871,-1.0,-2.0,0.44441511101140646,0.9891131476188173,,0.9844292534722222,True
E1_baseline,0,corr0.7,B_pilot,anchored,2,-3.8509863207130355,-7.6674154184266055,4.0,8.0,0.36444146377023057,0.9912831965688284,,0.9383680555555556,True
E1_baseline,0,corr0.7,B_pilot,anchored,3,1.2641919103895614,2.2258596744375545,-1.0,-2.0,0.3475772691824426,0.9924494368711666,,0.9844292534722222,True
E1_baseline,0,corr0.7,B_pilot,anchored,4,5.84333466828129,2.45754438096653,-6.0,-2.0,0.48362266977115365,0.9868726811362626,,0.9586588541666666,True
E1_baseline,0,corr0.7,B_pilot,anchored,5,-4.896339659591682,-7.630676111873781,5.0,8.0,0.38359562108323986,0.9905283132786205,,0.9333767361111112,True
E1_baseline,0,corr0.7,B_pilot,anchored,6,-2.091347067622241,-4.950269162225048,2.0,5.0,0.10400693721565331,0.9982147994263655,,0.9638129340277778,True
E1_baseline,0,corr0.7,B_pilot,anchored,7,-4.608097427163688,6.3688384221642735,5.0,-6.0,0.5381722849240301,0.9851333998950037,,0.9435221354166666,True
E1_baseline,0,corr0.7,B_pilot,anchored,8,3.9051956174327476,0.4162346306673186,-4.0,0.0,0.42689476305140717,0.9895116477590805,,0.9791666666666666,True
E1_baseline,0,stride2,stable_subpixel,anchored,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
E1_baseline,0,stride2,stable_subpixel,anchored,1,0.626488209332539,2.240818880338871,-0.800000011920929,-2.0999999046325684,0.22346438095688692,0.9881060049722478,0.9999999403953552,0.9849414066832267,True
E1_baseline,0,stride2,stable_subpixel,anchored,2,-3.8509863207130355,-7.6674154184266055,3.8999997973442078,7.799999713897705,0.14135386905579317,0.9987319363696897,0.9999999403953552,0.9398876977849674,True
E1_baseline,0,stride2,stable_subpixel,anchored,3,1.2641919103895614,2.2258596744375545,-1.1500000059604645,-2.0999999046325684,0.16994255703768876,0.9990707580895402,0.9999999403953552,0.9831384281974008,True
E1_baseline,0,stride2,stable_subpixel,anchored,4,5.84333466828129,2.45754438096653,-5.950000196695328,-2.3499999046325684,0.15147062204200465,0.9976237862063476,0.9999999403953552,0.9571501323904036,True
E1_baseline,0,stride2,stable_subpixel,anchored,5,-4.896339659591682,-7.630676111873781,4.949999898672104,7.799999713897705,0.17762292492953824,0.9986526951007499,0.9999999403953552,0.9346411152392586,True
E1_baseline,0,stride2,stable_subpixel,anchored,6,-2.091347067622241,-4.950269162225048,1.999999850988388,4.999999761581421,0.10400695409008055,0.9990478045614024,0.9999999403953552,0.9638129360124973,True
E1_baseline,0,stride2,stable_subpixel,anchored,7,-4.608097427163688,6.3688384221642735,4.749999895691872,-6.200000286102295,0.22055073512295365,0.9973442556878889,0.9999999403953552,0.9437676314509493,True
E1_baseline,0,stride2,stable_subpixel,anchored,8,3.9051956174327476,0.4162346306673186,-3.949999913573265,-0.2500004768371582,0.1721662535233796,0.9994487586088845,0.9999999403953552,0.9781517856690294,True
E1_baseline,0,stride3,stable_subpixel,anchored,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
E1_baseline,0,stride3,stable_subpixel,anchored,1,0.626488209332539,2.240818880338871,-0.800000011920929,-2.0999999046325684,0.22346438095688692,0.9881060049722478,0.9999999403953552,0.9849414066832267,True
E1_baseline,0,stride3,stable_subpixel,anchored,2,-3.8509863207130355,-7.6674154184266055,3.950000047683716,7.800000190734863,0.16547640308109493,0.9901871959327783,0.9999999403953552,0.9396378568616799,True
E1_baseline,0,stride3,stable_subpixel,anchored,3,1.2641919103895614,2.2258596744375545,-1.1000001430511475,-2.09999942779541,0.20688097579655132,0.9992538803393493,0.9999999403953552,0.9833959983199989,True
E1_baseline,0,stride3,stable_subpixel,anchored,4,5.84333466828129,2.45754438096653,-5.949999570846558,-2.34999942779541,0.15147051987709123,0.9984000937435495,0.9999999403953552,0.9571501380166997,True
E1_baseline,0,stride3,stable_subpixel,anchored,5,-4.896339659591682,-7.630676111873781,4.950000047683716,7.750000189989805,0.13083452475714052,0.9998468850325755,0.9999999403953552,0.9348948148783821,True
E1_baseline,0,stride3,stable_subpixel,anchored,6,-2.091347067622241,-4.950269162225048,2.0,4.950000237673521,0.09134746347653382,0.9990478045614024,0.9999999403953552,0.964070636795845,True
E1_baseline,0,stride3,stable_subpixel,anchored,7,-4.608097427163688,6.3688384221642735,4.750000044703484,-6.249999810010195,0.1850917842675708,0.9973442556878889,0.9999999403953552,0.9435136590514301,True
E1_baseline,0,stride3,stable_subpixel,anchored,8,3.9051956174327476,0.4162346306673186,-3.999999761581421,-0.30000000074505806,0.1499943830312565,0.999368019429623,0.9999999403953552,0.9776367199860236,True
E1_baseline,0,stride4,stable_subpixel,anchored,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
E1_baseline,0,stride4,stable_subpixel,anchored,1,0.626488209332539,2.240818880338871,-0.800000011920929,-2.0999999046325684,0.22346438095688692,0.9881060049722478,0.9999999403953552,0.9849414066832267,True
E1_baseline,0,stride4,stable_subpixel,anchored,2,-3.8509863207130355,-7.6674154184266055,3.950000047683716,7.800000190734863,0.16547640308109493,0.9901871959327783,0.9999999403953552,0.9396378568616799,True
E1_baseline,0,stride4,stable_subpixel,anchored,3,1.2641919103895614,2.2258596744375545,-1.100000023841858,-2.0999999046325684,0.20688078031431054,0.9909604901489156,0.9999999403953552,0.9833959964647916,True
E1_baseline,0,stride4,stable_subpixel,anchored,4,5.84333466828129,2.45754438096653,-5.900000214576721,-2.3499999046325684,0.12155985573743339,0.9976237862063476,0.9999999403953552,0.9574073615737143,True
